exp,day,legs,pnl,wins
A,2024-03-11,0,0.0,0
A,2024-03-12,1,185.35637934519312,1
A,2024-03-13,0,0.0,0
A,2024-03-14,1,-473.084534623331,0
A,2024-03-15,1,795.5867248410563,1
A,2024-03-16,3,758.1820088984102,2
A,2024-03-17,0,0.0,0
A,2024-03-18,1,-235.3711559455241,0
A,2024-03-19,0,0.0,0
A,2024-03-20,0,0.0,0
A,2024-03-21,0,0.0,0
A,2024-03-22,1,-249.28119165469457,0
A,2024-03-23,1,-192.45020257808753,0
A,2024-03-24,0,0.0,0
A,2024-03-25,0,0.0,0
A,2024-03-26,0,0.0,0
A,2024-03-27,1,-178.6218735901843,0
A,2024-03-28,4,3081.765067459487,3
A0,2024-03-11,0,0.0,0
A0,2024-03-12,1,185.35637934519312,1
A0,2024-03-13,0,0.0,0
A0,2024-03-14,1,-473.084534623331,0
A0,2024-03-15,1,795.5867248410563,1
A0,2024-03-16,3,758.1820088984102,2
A0,2024-03-17,0,0.0,0
A0,2024-03-18,1,-235.3711559455241,0
A0,2024-03-19,0,0.0,0
A0,2024-03-20,0,0.0,0
A0,2024-03-21,0,0.0,0
A0,2024-03-22,1,-249.28119165469457,0
A0,2024-03-23,1,-192.45020257808753,0
A0,2024-03-24,0,0.0,0
A0,2024-03-25,0,0.0,0
A0,2024-03-26,0,0.0,0
A0,2024-03-27,1,-178.6218735901843,0
A0,2024-03-28,4,3081.765067459487,3
A1,2024-03-11,0,0.0,0
A1,2024-03-12,1,185.35637934519312,1
A1,2024-03-13,0,0.0,0
A1,2024-03-14,1,-473.084534623331,0
A1,2024-03-15,1,795.5867248410563,1
A1,2024-03-16,1,-72.44209995802582,0
A1,2024-03-17,0,0.0,0
A1,2024-03-18,0,0.0,0
A1,2024-03-19,0,0.0,0
A1,2024-03-20,0,0.0,0
A1,2024-03-21,0,0.0,0
A1,2024-03-22,1,-249.28119165469457,0
A1,2024-03-23,0,0.0,0
A1,2024-03-24,0,0.0,0
A1,2024-03-25,0,0.0,0
A1,2024-03-26,0,0.0,0
A1,2024-03-27,1,-178.6218735901843,0
A1,2024-03-28,3,3482.07168161871,3
B1,2024-03-11,0,0.0,0
B1,2024-03-12,1,185.35637934519312,1
B1,2024-03-13,0,0.0,0
B1,2024-03-14,1,-473.084534623331,0
B1,2024-03-15,1,795.5867248410563,1
B1,2024-03-16,3,789.3322892524825,2
B1,2024-03-17,0,0.0,0
B1,2024-03-18,1,-235.3711559455241,0
B1,2024-03-19,0,0.0,0
B1,2024-03-20,0,0.0,0
B1,2024-03-21,0,0.0,0
B1,2024-03-22,1,-249.28119165469457,0
B1,2024-03-23,1,-192.45020257808753,0
B1,2024-03-24,0,0.0,0
B1,2024-03-25,0,0.0,0
B1,2024-03-26,0,0.0,0
B1,2024-03-27,1,-178.6218735901843,0
B1,2024-03-28,4,3081.765067459487,3
C1,2024-03-11,0,0.0,0
C1,2024-03-12,1,185.35637934519312,1
C1,2024-03-13,0,0.0,0
C1,2024-03-14,1,-473.084534623331,0
C1,2024-03-15,1,795.5867248410563,1
C1,2024-03-16,3,758.1820088984102,2
C1,2024-03-17,0,0.0,0
C1,2024-03-18,1,-235.3711559455241,0
C1,2024-03-19,0,0.0,0
C1,2024-03-20,0,0.0,0
C1,2024-03-21,0,0.0,0
C1,2024-03-22,1,-249.28119165469457,0
