exp,60m_eligible,60m_available,60m_pct,180m_eligible,180m_available,180m_pct
A,3972,3972,100.0,1927,1927,100.0
A0,3972,3972,100.0,1927,1927,100.0
A1,4031,4031,100.0,1927,1927,100.0
B1,3972,3972,100.0,1927,1927,100.0
C1,3972,3972,100.0,1927,1927,100.0
D1,4031,4031,100.0,1927,1927,100.0
D2,4031,4031,100.0,1927,1927,100.0
D3,4031,4031,100.0,1927,1927,100.0
D4,4031,4031,100.0,1927,1927,100.0
D5,4031,4031,100.0,1927,1927,100.0
E1,4029,4029,100.0,1927,1927,100.0
E2,4031,4031,100.0,1927,1927,100.0
E3,4031,4031,100.0,1927,1927,100.0
F1,4031,4031,100.0,1927,1927,100.0
