exp,total,STRONG_BULLISH,MODERATE_BULLISH,NEUTRAL_OVERLAP,NO_CLEAR,MODERATE_BEARISH,STRONG_BEARISH
A,4769,8,1264,34,2544,901,18
A0,4769,8,1264,34,2544,901,18
A1,4831,7,1300,35,2570,901,18
B1,4769,8,1264,34,2544,901,18
C1,4769,8,1264,34,2544,901,18
D1,4831,7,1300,35,2570,901,18
D2,4831,7,1300,35,2570,901,18
D3,4831,7,1300,35,2570,901,18
D4,4831,7,1300,35,2570,901,18
D5,4831,7,1300,35,2570,901,18
E1,4829,7,1300,35,2569,900,18
E2,4831,7,1300,35,2570,901,18
E3,4831,7,1300,35,2570,901,18
F1,4831,7,1300,35,2570,901,18
