exp,setup,total,rejected,passed,pass_rate
A,VAL_REJECTION_LONG,4769,2943,28,0.5871251834766198
A,VAH_REJECTION_SHORT,4769,3130,60,1.2581253931641854
A0,VAL_REJECTION_LONG,4769,2943,28,0.5871251834766198
A0,VAH_REJECTION_SHORT,4769,3130,60,1.2581253931641854
A1,VAL_REJECTION_LONG,4831,2976,28,0.5795901469675016
B1,VAL_REJECTION_LONG,4769,2943,28,0.5871251834766198
B1,VAH_REJECTION_SHORT,4769,3130,60,1.2581253931641854
C1,VAL_REJECTION_LONG,4769,2943,28,0.5871251834766198
C1,VAH_REJECTION_SHORT,4769,3130,60,1.2581253931641854
D1,VAL_REJECTION_LONG,4831,3970,48,0.9935831090871455
D2,VAL_REJECTION_LONG,4831,2978,28,0.5795901469675016
D3,VAL_REJECTION_LONG,4831,3964,48,0.9935831090871455
D4,VAL_REJECTION_LONG,4831,2976,28,0.5795901469675016
D5,VAL_REJECTION_LONG,4831,2976,28,0.5795901469675016
E1,VAL_REJECTION_LONG,4829,2973,29,0.6005384137502588
E2,VAL_REJECTION_LONG,4831,2976,28,0.5795901469675016
E3,VAL_REJECTION_LONG,4831,2978,26,0.5381908507555372
F1,VAL_REJECTION_LONG,4831,2976,28,0.5795901469675016
