ts,setup,bounded_probe,probe_depth,reclaim,shape,no_lower_acceptance,aggression_failure,buyer_response,participation,spread_ok,delta_pct_rank,l1_bid_support,qualified,day,no_higher_acceptance,seller_response,l1_ask_support
1710115200000,VAL_REJECTION_LONG,False,199.6999999999971,False,False,False,False,False,True,True,0.08108108108108109,False,False,2024-03-11,,,
1710115200000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.08108108108108109,,False,2024-03-11,True,True,False
1710115500000,VAL_REJECTION_LONG,False,193.0,False,False,False,False,True,False,True,0.9210526315789473,False,False,2024-03-11,,,
1710115500000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.9210526315789473,,False,2024-03-11,True,True,False
1710115800000,VAL_REJECTION_LONG,False,192.60000000000582,False,False,False,False,True,False,True,0.7692307692307693,False,False,2024-03-11,,,
1710115800000,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,0.7692307692307693,,False,2024-03-11,False,False,False
1710116100000,VAL_REJECTION_LONG,False,285.8999999999942,False,False,False,False,True,False,True,0.125,False,False,2024-03-11,,,
1710116100000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,0.125,,False,2024-03-11,True,True,False
1710116400000,VAL_REJECTION_LONG,False,486.6999999999971,False,False,False,False,False,True,True,0.024390243902439025,False,False,2024-03-11,,,
1710116400000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.024390243902439025,,False,2024-03-11,True,True,False
1710116700000,VAL_REJECTION_LONG,False,531.3000000000029,False,False,False,False,True,True,True,0.6666666666666666,False,False,2024-03-11,,,
1710116700000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.6666666666666666,,False,2024-03-11,True,True,False
1710117000000,VAL_REJECTION_LONG,False,502.1000000000058,False,False,False,False,True,True,True,0.8604651162790697,False,False,2024-03-11,,,
1710117000000,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,True,True,0.8604651162790697,,False,2024-03-11,True,True,False
1710117300000,VAL_REJECTION_LONG,False,633.8000000000029,False,False,False,False,False,True,True,0.13636363636363635,False,False,2024-03-11,,,
1710117300000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.13636363636363635,,False,2024-03-11,True,True,False
1710117600000,VAL_REJECTION_LONG,False,803.8000000000029,False,False,False,False,False,True,True,0.26666666666666666,False,False,2024-03-11,,,
1710117600000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.26666666666666666,,False,2024-03-11,True,True,False
1710117900000,VAL_REJECTION_LONG,False,984.5,False,False,False,False,False,True,True,0.3695652173913043,False,False,2024-03-11,,,
1710117900000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,0.3695652173913043,,False,2024-03-11,True,True,False
1710118200000,VAL_REJECTION_LONG,False,2056.5,False,True,False,False,False,True,True,0.40425531914893614,False,False,2024-03-11,,,
1710118200000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.40425531914893614,,False,2024-03-11,True,True,False
1710118500000,VAL_REJECTION_LONG,False,1279.699999999997,False,True,False,False,True,True,True,0.6875,False,False,2024-03-11,,,
1710118500000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.6875,,False,2024-03-11,True,True,False
1710118800000,VAL_REJECTION_LONG,False,1245.5,False,False,False,False,False,True,True,0.3877551020408163,False,False,2024-03-11,,,
1710118800000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.3877551020408163,,False,2024-03-11,True,True,False
1710119100000,VAL_REJECTION_LONG,False,1253.5,False,False,False,False,True,True,True,0.84,False,False,2024-03-11,,,
1710119100000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.84,,False,2024-03-11,True,False,False
1710119400000,VAL_REJECTION_LONG,False,847.1000000000058,False,False,False,False,True,True,True,0.49019607843137253,False,False,2024-03-11,,,
1710119400000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,0.49019607843137253,,False,2024-03-11,True,False,False
1710119700000,VAL_REJECTION_LONG,False,863.6999999999971,False,False,False,False,True,False,True,0.7115384615384616,False,False,2024-03-11,,,
1710119700000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.7115384615384616,,False,2024-03-11,True,False,False
1710120000000,VAL_REJECTION_LONG,False,1056.5,False,False,False,False,False,True,True,0.18867924528301888,False,False,2024-03-11,,,
1710120000000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,0.18867924528301888,,False,2024-03-11,True,True,False
1710120300000,VAL_REJECTION_LONG,False,1075.699999999997,False,False,False,False,False,False,True,0.3333333333333333,False,False,2024-03-11,,,
1710120300000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.3333333333333333,,False,2024-03-11,True,True,False
1710120600000,VAL_REJECTION_LONG,False,1240.3999999999942,False,False,False,False,False,True,True,0.5272727272727272,False,False,2024-03-11,,,
1710120600000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,0.5272727272727272,,False,2024-03-11,True,True,False
1710120900000,VAL_REJECTION_LONG,False,1323.0,False,False,False,False,True,True,True,0.75,False,False,2024-03-11,,,
1710120900000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,0.75,,False,2024-03-11,True,True,False
1710121200000,VAL_REJECTION_LONG,False,1423.199999999997,False,True,False,False,True,False,True,0.6666666666666666,False,False,2024-03-11,,,
1710121200000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.6666666666666666,,False,2024-03-11,True,False,False
1710121500000,VAL_REJECTION_LONG,False,1287.3999999999942,False,True,False,False,True,True,True,0.8448275862068966,False,False,2024-03-11,,,
1710121500000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.8448275862068966,,False,2024-03-11,True,False,False
1710121800000,VAL_REJECTION_LONG,False,912.6000000000058,False,True,False,False,True,False,True,0.5932203389830508,False,False,2024-03-11,,,
1710121800000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.5932203389830508,,False,2024-03-11,True,False,False
1710122100000,VAL_REJECTION_LONG,False,819.1000000000058,False,True,False,False,True,False,True,0.7166666666666667,False,False,2024-03-11,,,
1710122100000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.7166666666666667,,False,2024-03-11,False,False,False
1710122400000,VAL_REJECTION_LONG,False,714.0,False,False,False,True,True,True,True,0.6833333333333333,False,False,2024-03-11,,,
1710122400000,VAH_REJECTION_SHORT,False,0.0,False,True,,True,,True,True,0.6833333333333333,,False,2024-03-11,True,False,False
1710122700000,VAL_REJECTION_LONG,False,656.5,False,False,False,True,True,False,True,0.8166666666666667,False,False,2024-03-11,,,
1710122700000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.8166666666666667,,False,2024-03-11,True,False,False
1710123000000,VAL_REJECTION_LONG,False,603.8000000000029,False,True,False,False,True,False,True,0.75,False,False,2024-03-11,,,
1710123000000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.75,,False,2024-03-11,True,False,False
1710123300000,VAL_REJECTION_LONG,False,641.3000000000029,False,False,False,False,True,False,True,0.2,False,False,2024-03-11,,,
1710123300000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.2,,False,2024-03-11,True,True,False
1710123600000,VAL_REJECTION_LONG,False,603.3999999999942,False,True,False,False,False,False,True,0.4666666666666667,False,False,2024-03-11,,,
1710123600000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.4666666666666667,,False,2024-03-11,True,True,False
1710123900000,VAL_REJECTION_LONG,False,604.8999999999942,False,True,False,True,False,False,True,0.18333333333333332,False,False,2024-03-11,,,
1710123900000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.18333333333333332,,False,2024-03-11,True,True,False
1710124200000,VAL_REJECTION_LONG,False,566.8999999999942,False,True,False,True,False,False,True,0.31666666666666665,False,False,2024-03-11,,,
1710124200000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.31666666666666665,,False,2024-03-11,True,True,False
1710124500000,VAL_REJECTION_LONG,False,575.1000000000058,False,False,False,False,False,False,True,0.4666666666666667,False,False,2024-03-11,,,
1710124500000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.4666666666666667,,False,2024-03-11,True,True,False
1710124800000,VAL_REJECTION_LONG,False,656.5,False,False,False,False,False,False,True,0.15,False,False,2024-03-11,,,
1710124800000,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,0.15,,False,2024-03-11,True,True,False
1710125100000,VAL_REJECTION_LONG,False,656.5,False,False,False,False,True,False,True,0.8333333333333334,False,False,2024-03-11,,,
1710125100000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.8333333333333334,,False,2024-03-11,True,True,False
1710125400000,VAL_REJECTION_LONG,False,685.6999999999971,False,False,False,False,False,False,True,0.016666666666666666,False,False,2024-03-11,,,
1710125400000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.016666666666666666,,False,2024-03-11,True,True,False
1710125700000,VAL_REJECTION_LONG,False,756.5,False,False,False,True,False,False,True,0.2,False,False,2024-03-11,,,
1710125700000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.2,,False,2024-03-11,True,True,False
1710126000000,VAL_REJECTION_LONG,False,706.5,False,True,False,False,True,False,True,0.9333333333333333,False,False,2024-03-11,,,
1710126000000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.9333333333333333,,False,2024-03-11,True,True,False
1710126300000,VAL_REJECTION_LONG,False,671.6999999999971,False,False,False,False,True,False,True,0.9833333333333333,False,False,2024-03-11,,,
1710126300000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.9833333333333333,,False,2024-03-11,True,False,False
1710126600000,VAL_REJECTION_LONG,False,564.6000000000058,False,False,False,False,True,False,True,1.0,False,False,2024-03-11,,,
1710126600000,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-11,True,False,False
1710126900000,VAL_REJECTION_LONG,False,468.1000000000058,False,False,False,False,True,True,True,0.8333333333333334,False,False,2024-03-11,,,
1710126900000,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,True,True,0.8333333333333334,,False,2024-03-11,True,False,False
1710127200000,VAL_REJECTION_LONG,False,455.5,False,False,False,False,True,False,True,0.5,False,False,2024-03-11,,,
1710127200000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,0.5,,False,2024-03-11,True,False,False
1710127500000,VAL_REJECTION_LONG,False,538.3999999999942,False,False,False,False,False,True,True,0.03333333333333333,False,False,2024-03-11,,,
1710127500000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,0.03333333333333333,,False,2024-03-11,True,True,False
1710127800000,VAL_REJECTION_LONG,False,595.5,False,False,False,False,False,False,True,0.06666666666666667,False,False,2024-03-11,,,
1710127800000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,0.06666666666666667,,False,2024-03-11,True,True,False
1710128100000,VAL_REJECTION_LONG,False,616.5,False,False,False,False,False,False,True,0.55,False,False,2024-03-11,,,
1710128100000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,0.55,,False,2024-03-11,True,True,False
1710128400000,VAL_REJECTION_LONG,False,612.3000000000029,False,False,False,False,True,False,True,0.95,False,False,2024-03-11,,,
1710128400000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.95,,False,2024-03-11,True,True,False
1710128700000,VAL_REJECTION_LONG,False,575.0,False,True,False,False,True,False,True,0.8333333333333334,False,False,2024-03-11,,,
1710128700000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.8333333333333334,,False,2024-03-11,True,False,False
1710129000000,VAL_REJECTION_LONG,False,533.3000000000029,False,False,False,False,True,True,True,0.8666666666666667,False,False,2024-03-11,,,
1710129000000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.8666666666666667,,False,2024-03-11,True,False,False
1710129300000,VAL_REJECTION_LONG,False,441.1999999999971,False,False,False,True,True,True,True,0.3,False,False,2024-03-11,,,
1710129300000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.3,,False,2024-03-11,True,True,False
1710129600000,VAL_REJECTION_LONG,False,459.3999999999942,False,True,False,False,True,True,True,0.8166666666666667,False,False,2024-03-11,,,
1710129600000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.8166666666666667,,False,2024-03-11,True,False,False
1710129900000,VAL_REJECTION_LONG,False,303.1000000000058,False,False,False,False,True,True,True,0.7833333333333333,False,False,2024-03-11,,,
1710129900000,VAH_REJECTION_SHORT,False,0.0,False,True,,True,,True,True,0.7833333333333333,,False,2024-03-11,True,False,False
1710130200000,VAL_REJECTION_LONG,False,412.3999999999942,False,False,False,False,True,False,True,0.06666666666666667,False,False,2024-03-11,,,
1710130200000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.06666666666666667,,False,2024-03-11,True,True,False
1710130500000,VAL_REJECTION_LONG,False,446.5,False,True,False,True,False,False,True,0.2833333333333333,False,False,2024-03-11,,,
1710130500000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.2833333333333333,,False,2024-03-11,True,True,False
1710130800000,VAL_REJECTION_LONG,False,394.1999999999971,False,False,False,False,True,False,True,0.8666666666666667,False,False,2024-03-11,,,
1710130800000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.8666666666666667,,False,2024-03-11,True,True,False
1710131100000,VAL_REJECTION_LONG,False,357.1999999999971,False,True,False,False,True,False,True,0.7333333333333333,False,False,2024-03-11,,,
1710131100000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.7333333333333333,,False,2024-03-11,True,False,False
1710131400000,VAL_REJECTION_LONG,False,408.5,False,False,False,False,True,False,True,0.23333333333333334,False,False,2024-03-11,,,
1710131400000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.23333333333333334,,False,2024-03-11,True,True,False
1710131700000,VAL_REJECTION_LONG,False,442.6999999999971,False,False,False,False,False,False,True,0.26666666666666666,False,False,2024-03-11,,,
1710131700000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,0.26666666666666666,,False,2024-03-11,True,True,False
1710132000000,VAL_REJECTION_LONG,False,472.8000000000029,False,True,False,True,False,False,True,0.23333333333333334,False,False,2024-03-11,,,
1710132000000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.23333333333333334,,False,2024-03-11,True,True,False
1710132300000,VAL_REJECTION_LONG,False,495.6999999999971,False,False,False,False,False,True,True,0.11666666666666667,False,False,2024-03-11,,,
1710132300000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.11666666666666667,,False,2024-03-11,True,True,False
1710132600000,VAL_REJECTION_LONG,False,531.0,False,False,False,False,False,True,True,0.18333333333333332,False,False,2024-03-11,,,
1710132600000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.18333333333333332,,False,2024-03-11,True,True,False
1710132900000,VAL_REJECTION_LONG,False,505.8000000000029,False,False,False,False,True,False,True,0.95,False,False,2024-03-11,,,
1710132900000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.95,,False,2024-03-11,True,True,False
1710133200000,VAL_REJECTION_LONG,False,461.6999999999971,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,
1710133200000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,False,False
1710133500000,VAL_REJECTION_LONG,False,313.6000000000058,False,True,False,False,True,True,True,0.6666666666666666,False,False,2024-03-11,,,
1710133500000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.6666666666666666,,False,2024-03-11,True,False,False
1710133800000,VAL_REJECTION_LONG,False,291.3000000000029,False,False,False,False,True,True,True,0.75,False,False,2024-03-11,,,
1710133800000,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,True,True,0.75,,False,2024-03-11,True,False,False
1710134100000,VAL_REJECTION_LONG,False,336.5,False,False,False,False,True,False,True,0.31666666666666665,False,False,2024-03-11,,,
1710134100000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,0.31666666666666665,,False,2024-03-11,True,True,False
1710134400000,VAL_REJECTION_LONG,False,442.1999999999971,False,True,False,False,True,True,True,0.4166666666666667,False,False,2024-03-11,,,
1710134400000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.4166666666666667,,False,2024-03-11,True,False,False
1710134700000,VAL_REJECTION_LONG,False,397.1999999999971,False,True,False,True,False,False,True,0.2,False,False,2024-03-11,,,
1710134700000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.2,,False,2024-03-11,True,True,False
1710135000000,VAL_REJECTION_LONG,False,430.3000000000029,False,False,False,False,False,False,True,0.4,False,False,2024-03-11,,,
1710135000000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.4,,False,2024-03-11,True,True,False
1710135300000,VAL_REJECTION_LONG,False,456.5,False,False,False,False,False,False,True,0.25,False,False,2024-03-11,,,
1710135300000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.25,,False,2024-03-11,True,True,False
1710135600000,VAL_REJECTION_LONG,False,455.6000000000058,False,False,False,False,True,False,True,0.7,False,False,2024-03-11,,,
1710135600000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.7,,False,2024-03-11,True,True,False
1710135900000,VAL_REJECTION_LONG,False,468.5,False,False,False,True,False,False,True,0.38333333333333336,False,False,2024-03-11,,,
1710135900000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,0.38333333333333336,,False,2024-03-11,True,True,False
1710136200000,VAL_REJECTION_LONG,False,491.1000000000058,False,False,False,False,False,True,True,0.43333333333333335,False,False,2024-03-11,,,
1710136200000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,0.43333333333333335,,False,2024-03-11,True,True,False
1710136500000,VAL_REJECTION_LONG,False,502.6999999999971,False,True,False,False,False,True,True,0.6333333333333333,False,False,2024-03-11,,,
1710136500000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.6333333333333333,,False,2024-03-11,True,True,False
1710136800000,VAL_REJECTION_LONG,False,491.5,False,False,False,False,False,False,True,0.23333333333333334,False,False,2024-03-11,,,
1710136800000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,0.23333333333333334,,False,2024-03-11,True,True,False
1710137100000,VAL_REJECTION_LONG,False,554.1000000000058,False,False,False,False,False,True,True,0.3,False,False,2024-03-11,,,
1710137100000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.3,,False,2024-03-11,True,True,False
1710137400000,VAL_REJECTION_LONG,False,521.5,False,False,False,False,False,False,True,0.4,False,False,2024-03-11,,,
1710137400000,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,False,True,0.4,,False,2024-03-11,True,True,False
1710137700000,VAL_REJECTION_LONG,False,535.3999999999942,False,False,False,False,True,True,True,0.9166666666666666,False,False,2024-03-11,,,
1710137700000,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,0.9166666666666666,,False,2024-03-11,True,False,False
