ts,setup,bounded_probe,probe_depth,reclaim,shape,no_lower_acceptance,aggression_failure,buyer_response,participation,spread_ok,delta_pct_rank,l1_bid_support,qualified,day,no_higher_acceptance,seller_response,l1_ask_support,signal_id,stage,passed
1710115200000.0,VAL_REJECTION_LONG,False,199.6999999999971,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710115200000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710115500000.0,VAL_REJECTION_LONG,False,193.0,False,False,False,True,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710115500000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-11,True,True,False,,,
1710115800000.0,VAL_REJECTION_LONG,False,192.60000000000582,False,False,False,False,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710115800000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-11,False,True,False,,,
1710116100000.0,VAL_REJECTION_LONG,False,285.8999999999942,False,False,False,False,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710116100000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,True,,False,True,1.0,,False,2024-03-11,True,True,False,,,
1710116400000.0,VAL_REJECTION_LONG,False,486.6999999999971,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710116400000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710116700000.0,VAL_REJECTION_LONG,False,531.3000000000029,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710116700000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710117000000.0,VAL_REJECTION_LONG,False,502.1000000000058,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710117000000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710117300000.0,VAL_REJECTION_LONG,False,633.8000000000029,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710117300000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710117600000.0,VAL_REJECTION_LONG,False,803.8000000000029,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710117600000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710117900000.0,VAL_REJECTION_LONG,False,984.5,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710117900000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710118200000.0,VAL_REJECTION_LONG,False,2056.5,False,True,False,True,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710118200000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710118500000.0,VAL_REJECTION_LONG,False,1279.699999999997,False,True,False,True,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710118500000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710118800000.0,VAL_REJECTION_LONG,False,1245.5,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710118800000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710119100000.0,VAL_REJECTION_LONG,False,1253.5,False,False,False,True,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710119100000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710119400000.0,VAL_REJECTION_LONG,False,847.1000000000058,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710119400000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710119700000.0,VAL_REJECTION_LONG,False,863.6999999999971,False,False,False,True,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710119700000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-11,True,True,False,,,
1710120000000.0,VAL_REJECTION_LONG,False,1056.5,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710120000000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710120300000.0,VAL_REJECTION_LONG,False,1075.699999999997,False,False,False,False,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710120300000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-11,True,True,False,,,
1710120600000.0,VAL_REJECTION_LONG,False,1240.3999999999942,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710120600000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710120900000.0,VAL_REJECTION_LONG,False,1323.0,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710120900000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710121200000.0,VAL_REJECTION_LONG,False,1423.199999999997,False,True,False,True,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710121200000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-11,True,True,False,,,
1710121500000.0,VAL_REJECTION_LONG,False,1287.3999999999942,False,True,False,True,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710121500000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710121800000.0,VAL_REJECTION_LONG,False,912.6000000000058,False,True,False,True,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710121800000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-11,True,True,False,,,
1710122100000.0,VAL_REJECTION_LONG,False,819.1000000000058,False,True,False,True,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710122100000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,False,,False,True,1.0,,False,2024-03-11,False,True,False,,,
1710122400000.0,VAL_REJECTION_LONG,False,714.0,False,False,False,False,True,True,True,1.0,False,False,2024-03-11,,,,,,
1710122400000.0,VAH_REJECTION_SHORT,False,0.0,False,True,,True,,True,True,1.0,,False,2024-03-11,True,True,False,,,
1710122700000.0,VAL_REJECTION_LONG,False,656.5,False,False,False,True,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710122700000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-11,True,True,False,,,
1710123000000.0,VAL_REJECTION_LONG,False,603.8000000000029,False,True,False,True,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710123000000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-11,True,True,False,,,
1710123300000.0,VAL_REJECTION_LONG,False,641.3000000000029,False,False,False,False,True,False,True,1.0,False,False,2024-03-11,,,,,,
1710123300000.0,VAH_REJECTION_SHORT,False,0.0,False,False,,True,,False,True,1.0,,False,2024-03-11,True,True,False,,,
